Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
Black Ice,Black Ice,AC/DC,2008-10-20,205106,55,0.000323,0.501,0.889,0.00164,0.186,-3.89,0.0296,94.37,4
Miras,Miras,Yalın,2022-12-16,209346,63,0.367,0.733,0.642,0.0,0.122,-6.534,0.0528,145.033,4
Bu da Geçer mi Sevgilim,Bu da Geçer mi Sevgilim,Yalın,2022-01-14,200479,58,0.0411,0.567,0.451,2.79e-05,0.379,-10.105,0.039,103.96,4
Deva Bize Sevişler,Deva Bize Sevişler,Yalın,2019-02-19,218740,53,0.304,0.528,0.811,2.21e-05,0.0565,-7.147,0.0651,166.022,4
O Yaz Bu Yaz,O Yaz Bu Yaz,Yalın,2022-07-08,190517,51,0.0417,0.925,0.498,9.38e-05,0.0951,-7.518,0.103,119.978,4
Ver O Zaman Gömleklerimi,Ver O Zaman Gömleklerimi,Sıla,2021-01-01,206516,51,0.519,0.619,0.582,0.0,0.132,-8.733,0.0534,151.928,4
Benimki,Benimki,Yalın,2015-06-08,216151,54,0.0213,0.711,0.773,0.0,0.0929,-6.767,0.0532,127.996,4
Olmasa Da Olur,Sen En Güzelsin,Yalın,2012-07-04,224626,52,0.137,0.741,0.604,0.0,0.111,-6.801,0.0778,89.989,4
Zalim (Ellerine Sağlık) - Remastered,Ellerine Sağlık (Remastered),Yalın,2004,246960,53,0.463,0.68,0.659,0.0,0.103,-7.308,0.0455,92.07,4
Yeniden,Yeniden,Yalın,2015-05-20,242625,53,0.00307,0.764,0.848,0.0,0.147,-5.296,0.0382,125.045,4
Keşke,Bir Bakmışsın,Yalın,2005-04-13,297430,52,0.485,0.695,0.471,0.0,0.098,-6.21,0.0298,111.966,4
Cumhuriyet,Her şey Sensin,Yalın,2007-03-23,267240,52,0.391,0.575,0.812,0.0,0.103,-6.056,0.0614,87.96,4
Keyfi Yolunda Aşkı Sonunda,Keyfi Yolunda Aşkı Sonunda,Yalın,2013,206184,50,0.122,0.772,0.871,0.000189,0.0935,-6.909,0.0485,122.017,4
Olur Ya,"Kimler Geldi Kimler Geçti, Vol. 2 (Fikret Şeneş Şarkıları)",Various Artists,2019-10-04,230535,47,0.106,0.528,0.644,1.03e-06,0.197,-8.133,0.0484,83.849,4
Bir Bahar Akşamı,Bir Bahar Akşamı,Yalın,2015-01-28,238068,49,0.69,0.553,0.471,0.0,0.0781,-6.202,0.0253,100.137,3
Sesinde Aşk Var,Bayıla Bayıla,Yalın,2016-09-09,256336,49,0.316,0.535,0.593,3.21e-05,0.387,-8.489,0.134,168.192,4
Onun Yolu,Sen En Güzelsin,Yalın,2012-07-04,206471,46,0.485,0.521,0.542,0.0,0.184,-6.416,0.0513,190.177,3
Sensiz Olmaz,İlhan Şeşen: Hediyem,Various Artists,2018-10-05,217557,45,0.45,0.612,0.56,0.0,0.119,-7.185,0.0389,145.897,4
Meleklerin Sözü Var - Remastered,Ellerine Sağlık (Remastered),Yalın,2004,243600,45,0.413,0.604,0.29,1.18e-06,0.11,-15.09,0.0306,110.026,4
Tatlıyla Balla,Bayıla Bayıla,Yalın,2016-09-09,205646,47,0.302,0.726,0.691,3.45e-06,0.0971,-5.985,0.0389,91.98,4
Halbuki,Halbuki,Yalın,2020-06-05,202325,45,0.305,0.619,0.774,4.93e-06,0.118,-8.762,0.0731,165.969,4
İstanbul Benden Büyük,Bir Bakmışsın,Yalın,2005-04-13,217782,44,0.041,0.648,0.663,0.0,0.06,-6.55,0.0432,150.246,4
Günaydın - Remastered,Ellerine Sağlık (Remastered),Yalın,2004,299906,45,0.158,0.594,0.617,1.37e-05,0.0989,-7.928,0.0263,97.994,4
Aşk Diye,Aşk Diye,Yalın,2014-08-18,240791,44,0.357,0.691,0.753,0.0,0.223,-5.072,0.0466,105.946,4
Sensiz Ben Ne Olayım,Sensiz Ben Ne Olayım,Yalın,2018-07-13,217085,43,0.0917,0.784,0.76,0.00023,0.0758,-5.218,0.118,94.993,3
