Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
Moonlight,?,XXXTENTACION,2018-03-16,135090,83,0.556,0.921,0.537,0.00404,0.102,-5.723,0.0804,128.009,4
SUVs (Black on Black),SUVs (Black on Black),Jack Harlow,2021-08-03,157675,69,0.144,0.801,0.688,0.0,0.107,-4.594,0.396,162.928,4
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,2021-04-22,278085,70,0.21,0.883,0.674,0.0,0.0678,-8.043,0.357,141.02,4
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,81,0.114,0.823,0.586,0.0,0.193,-6.606,0.2,125.971,4
Bout A Million (feat. 42 Dugg & 21 Savage),Faith,Pop Smoke,2021-07-16,203586,64,0.526,0.716,0.67,0.0,0.13,-6.995,0.101,145.043,4
Miss The Rage (feat. Playboi Carti),Trip At Knight (Complete Edition),Trippie Redd,2021-08-21,236883,75,0.0151,0.581,0.877,0.0,0.826,-4.938,0.114,77.006,4
a m a r i,The Off-Season,J. Cole,2021-05-14,148421,74,0.127,0.725,0.713,0.0,0.617,-6.173,0.187,65.988,4
What’s Next,Scary Hours 2,Drake,2021-03-05,178153,75,0.0136,0.781,0.594,0.0,0.162,-6.959,0.0485,129.895,4
Sharing Locations (feat. Lil Baby & Lil Durk),Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,2021-08-27,161052,69,0.00383,0.681,0.63,0.0,0.139,-5.585,0.0385,151.951,4
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,2020-01-10,237735,77,0.0706,0.676,0.609,0.0,0.152,-5.831,0.481,142.037,4
m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,2021-05-14,218801,78,0.0622,0.597,0.587,0.0,0.214,-7.026,0.137,140.021,4
SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,83,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4
Beautiful,The Best Of Snoop Dogg,Snoop Dogg,2005-01-01,299146,67,0.299,0.893,0.74,0.0,0.0881,-4.936,0.132,101.025,4
In Da Club,Get Rich Or Die Tryin',50 Cent,2003-02-06,193466,84,0.255,0.899,0.713,0.0,0.0708,-2.752,0.366,90.051,4
Cleanin' Out My Closet,The Eminem Show,Eminem,2002-05-26,297933,0,0.0658,0.908,0.762,0.0,0.104,-4.773,0.153,148.016,4
Wonderful,R.U.L.E.,Ja Rule,2004-01-01,270506,0,0.277,0.663,0.777,0.0,0.0466,-4.954,0.109,92.681,4
"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call (Deluxe),Eminem,2005-12-06,326466,0,0.00971,0.701,0.728,0.00115,0.361,-4.554,0.255,171.388,4
'Till I Collapse,The Eminem Show,Eminem,2002-05-26,297893,0,0.0748,0.551,0.851,0.0,0.0784,-3.277,0.197,171.411,4
My Boo,Confessions (Expanded Edition),Usher,2004-03-23,223440,79,0.257,0.662,0.507,0.0,0.0465,-8.238,0.118,86.412,4
Dilemma,Nellyville (Explicit Version),Nelly,2002-06-25,288949,0,0.18,0.73,0.552,6.14e-05,0.224,-8.177,0.146,168.091,4
Just Lose It,Encore (Deluxe Explicit Version),Eminem,2004-11-12,248680,0,0.0581,0.94,0.633,4.04e-05,0.281,-3.56,0.0467,121.003,4
Drop It Like It's Hot,R&G (Rhythm & Gangsta): The Masterpiece [Explicit Version],Snoop Dogg,2004-01-01,266066,0,0.169,0.892,0.628,0.0,0.102,-3.832,0.216,92.063,4
"Wanksta - From ""8 Mile"" Soundtrack",Get Rich Or Die Tryin',50 Cent,2003-02-06,219400,60,0.0199,0.802,0.863,0.0,0.141,-3.552,0.2,81.008,4
Flex Off,Flex Off,Chef Sean,2022-04-01,156948,50,0.0778,0.829,0.542,0.0,0.23,-6.567,0.238,129.032,4
Spin,Spin,Ray Rich FMG,2022-08-12,129434,45,0.208,0.631,0.934,0.0,0.107,-3.884,0.383,94.307,5
Cautious,Cautious,NXTFRIDAY,2022-04-02,117340,44,0.0589,0.649,0.559,0.0,0.126,-8.711,0.046,89.982,4
Wit You (Bonus Track),Chosen 1,Brodiee,2022-08-14,177658,44,0.477,0.814,0.536,2.98e-05,0.856,-8.825,0.409,99.845,4
Attention,Attention,9rlfrnd,2022-08-19,167601,44,0.318,0.388,0.334,1.99e-05,0.0979,-12.54,0.132,131.977,4
Best Friend,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,Various Artists,2005-01-01,251546,0,0.395,0.549,0.636,0.0,0.0974,-3.923,0.376,182.363,4
She Want Some More (Feat. Ken Carson & Lil Tecca),She Want Some More (Feat. Ken Carson & Lil Tecca),Internet Money,2022-07-22,184614,56,0.08,0.689,0.546,0.0,0.0706,-8.624,0.345,140.924,4
TIRED.,TIRED.,SupremeDae,2022-06-17,170059,44,0.709,0.589,0.574,0.0,0.0934,-7.646,0.494,111.179,5
Abandoned,Abandoned,NXTFRIDAY,2021-04-23,127534,45,0.179,0.62,0.614,0.0,0.118,-7.004,0.119,131.941,4
Keep You Safe,Fallen Angels,Highedupzay,2022-08-14,155768,42,0.547,0.886,0.568,0.0,0.129,-9.755,0.398,136.068,4
Jordan,Jordan,JordanLivinGood,2018-04-03,157851,41,0.00357,0.827,0.772,0.000748,0.102,-7.949,0.083,123.966,4
Doppelganger,Doppelganger,HERBIE,2022-07-08,203915,41,0.0724,0.593,0.528,0.0,0.103,-13.055,0.225,165.946,4
Dwn,Dwn,Shuxx Mills,2022-08-15,97847,41,0.177,0.89,0.427,3.5e-06,0.109,-8.405,0.215,130.118,4
Wake Up Get Down,UPSIDE UP DOWNSIDE DOWN,Jaeti,2022-07-27,220969,41,0.192,0.626,0.714,0.0,0.109,-7.747,0.378,148.161,4
Cant Let Me Go,Cant Let Me Go,YHIM,2022-08-01,114068,40,0.00937,0.824,0.672,0.0,0.181,-5.256,0.108,139.974,4
Lips Don't Lie,Lips Don't Lie,NXTFRIDAY,2022-07-05,158728,40,0.0233,0.698,0.582,0.0,0.152,-8.58,0.147,97.067,4
Fuego,Fuego,NXTFRIDAY,2021-06-18,128935,43,0.674,0.746,0.679,0.0,0.117,-9.42,0.0642,120.995,4
Outside,Outside,J3X,2022-06-17,211109,19,0.0102,0.577,0.645,0.0,0.103,-5.319,0.237,176.006,4
Things Can't Stay the Same,Phone Calls Gimme Anxiety,Peter $un,2022-07-22,148636,40,0.4,0.63,0.553,0.0136,0.28,-8.049,0.0764,87.925,4
Let It Play,Let It Play,Michael Jay,2022-08-12,240333,39,0.21,0.612,0.556,0.0,0.134,-10.352,0.0843,180.04,4
Gelato,Gelato,Frak,2022-08-23,208632,39,0.74,0.717,0.544,0.0,0.0959,-8.111,0.239,105.593,4
Just A Lil Bit,The Massacre,50 Cent,2005-03-03,237706,0,0.0322,0.489,0.692,0.00608,0.315,-6.672,0.41,96.946,4
Xxplosive,2001 (Explicit Version),Dr. Dre,1999-11-16,215266,0,0.191,0.767,0.881,8.29e-06,0.139,-4.359,0.109,169.049,4
Higher,Hyperdrive,J Dynamic,2019-08-12,186200,39,0.0496,0.925,0.916,0.0,0.209,-4.057,0.12,116.998,4
What Up Gangsta,Get Rich Or Die Tryin',50 Cent,2003-02-06,179466,62,0.00225,0.67,0.788,0.0,0.11,-2.43,0.0445,82.498,4
Freak,Freak,Mi$taHyde,2022-08-08,170026,39,0.0707,0.653,0.802,0.0,0.3,-7.03,0.336,164.076,4
21 Questions,Get Rich Or Die Tryin',50 Cent,2003-02-06,224440,74,0.349,0.646,0.813,9.37e-05,0.0427,-3.846,0.299,92.729,4
Avenue,Avenue,Trevis,2022-06-24,196363,39,0.0277,0.65,0.636,5.44e-06,0.09,-7.329,0.0285,120.873,4
Hate It Or Love It - G-Unit Remix,The Massacre,50 Cent,2005-03-03,263786,0,0.271,0.799,0.76,0.0,0.185,-3.318,0.222,99.994,4
SHMONEY,SHMONEY,Yung Destiny,2022-08-05,160000,38,0.473,0.761,0.642,0.0,0.138,-8.31,0.347,157.015,4
Disco Inferno,The Massacre,50 Cent,2005-03-03,214226,74,0.206,0.925,0.659,7.88e-05,0.279,-4.763,0.231,97.018,4
Only God Can Judge Me,All Eyez On Me,2Pac,1996-02-13,296906,0,0.0012,0.803,0.784,0.000161,0.0794,-5.97,0.198,90.185,4
Dear Mama,Me Against The World,2Pac,1995-01-01,280000,0,0.349,0.775,0.535,0.0,0.14,-7.125,0.113,84.122,4
Who Am I (What's My Name)?,Doggystyle,Snoop Dogg,1993,246320,0,0.000136,0.692,0.833,1.98e-05,0.515,-3.974,0.0492,96.814,4
No Sleep,Rolling Papers,Wiz Khalifa,2011-03-29,191320,66,0.109,0.653,0.711,0.0,0.443,-6.454,0.0623,160.048,4
On My Level (feat. Too $hort),Rolling Papers,Wiz Khalifa,2011-03-29,272160,63,0.146,0.72,0.514,0.00713,0.107,-7.108,0.132,142.98,4
New York,R.U.L.E.,Ja Rule,2004-01-01,258213,0,0.253,0.547,0.795,0.0,0.0775,-5.825,0.444,93.221,4
You Don't Know,Eminem Presents The Re-Up,Eminem,2006-12-04,257906,60,0.0116,0.767,0.864,0.0,0.0957,-1.847,0.133,85.475,4
Runnin' (Dying To Live),Resurrection (Music From And Inspired By The Motion Picture),2Pac,2003-01-01,230786,0,0.0564,0.608,0.79,0.000203,0.258,-2.92,0.383,166.222,4
Ayo Technology,Curtis,50 Cent,2007-01-01,247946,0,0.0828,0.63,0.782,0.0,0.034,-5.44,0.132,140.144,4
GOOD INTENTIONS,GOOD INTENTIONS,Miggsy,2022-08-26,140068,36,0.0138,0.604,0.703,0.0,0.157,-5.613,0.248,167.93,4
2 Of Amerikaz Most Wanted,All Eyez On Me,2Pac,1996-02-13,246533,0,0.0253,0.856,0.904,3.16e-05,0.0537,-4.804,0.139,99.247,4
Gin And Juice (feat. Dat Nigga Daz),Doggystyle,Snoop Dogg,1993,211493,1,0.0285,0.549,0.853,0.000296,0.618,-4.293,0.188,94.695,4
"Young, Wild & Free (feat. Bruno Mars)",Mac and Devin Go To High School (Music From and Inspired By The Movie),Various Artists,2011-12-09,207333,66,0.0525,0.715,0.655,0.0,0.115,-6.425,0.137,95.078,4
I Want You,Thalia,Thalia,2003-01-01,226026,52,0.0107,0.803,0.773,0.0,0.0632,-3.628,0.121,91.915,4
Superman,The Eminem Show,Eminem,2002-05-26,350226,0,0.0175,0.803,0.757,0.0,0.195,-3.212,0.0597,130.019,4
All Eyez On Me,All Eyez On Me,2Pac,1996-02-13,307773,0,0.03,0.873,0.719,0.0,0.333,-5.948,0.248,93.281,4
Notorious Thugs,Life After Death (Deluxe Version),The Notorious B.I.G.,1997-03-04,367960,0,0.162,0.755,0.738,1.98e-05,0.173,-6.792,0.152,154.788,4
Like Toy Soldiers,Encore (Deluxe Explicit Version),Eminem,2004-11-12,296880,0,0.0193,0.52,0.768,0.00034,0.104,-3.489,0.359,79.178,4
Clap Back,Exodus,Ja Rule,2005-01-01,304146,0,0.0203,0.643,0.825,4.99e-06,0.0398,-4.746,0.343,97.172,4
Down A** B**ch,Pain Is Love (International Version),Ja Rule,2001-10-29,331133,0,0.338,0.482,0.647,0.0,0.0976,-6.582,0.316,87.429,4
Furious,The Fast and The Furious (Original Motion Picture Soundtrack),Various Artists,2001-01-01,258000,0,0.0811,0.816,0.849,0.0,0.0616,-4.41,0.26,94.007,4
What's Luv? (feat. Ja-Rule & Ashanti),Jealous Ones Still Envy (J.O.S.E),Fat Joe,2001-12-04,267093,74,0.0219,0.835,0.707,2.19e-05,0.108,-5.074,0.0598,93.955,4
I'll Whip Ya Head Boy,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,Various Artists,2005-01-01,236413,0,0.147,0.487,0.805,0.0,0.209,-3.911,0.204,99.336,5
Candy Shop,The Massacre (Ecopac Reissue Explicit),50 Cent,2005-03-03,208533,0,0.0237,0.612,0.577,6.22e-05,0.381,-8.01,0.458,128.422,5
Always On Time,Pain Is Love (International Version),Ja Rule,2001-10-29,245093,0,0.195,0.838,0.705,0.0,0.336,-6.131,0.29,96.643,4
Sing For The Moment,The Eminem Show,Eminem,2002-05-26,339666,0,0.00185,0.672,0.818,2.29e-06,0.0612,-4.209,0.109,164.078,4
P.I.M.P. - Snoop Dogg Remix,P.I.M.P. (International Version),50 Cent,2003-01-01,287906,0,0.0949,0.804,0.692,0.0,0.0405,-5.884,0.318,85.21,4
Mesmerize,Exodus,Ja Rule,2005-01-01,282106,0,0.0618,0.761,0.653,0.0,0.326,-6.577,0.182,90.049,4
Notorious B.I.G. (feat. Lil' Kim & Puff Daddy) - 2005 Remaster,Born Again,The Notorious B.I.G.,1999,191600,60,0.0531,0.904,0.826,0.0,0.214,-2.372,0.272,101.35,4
How Do You Want It,All Eyez On Me,2Pac,1996-02-13,287546,0,0.0346,0.763,0.84,0.0,0.0601,-3.704,0.0929,92.477,4
We Own It (Fast & Furious),Fast & Furious 6,Various Artists,2013-01-01,227893,64,0.0521,0.554,0.899,0.0,0.0568,-4.573,0.408,171.966,4
Vato,Vato & Candy,Snoop Dogg,2006-01-01,283173,0,0.13,0.716,0.722,0.0,0.0531,-4.63,0.16,90.997,4
Move Bitch,Word Of Mouf,Ludacris,2001-01-01,270866,0,0.243,0.777,0.764,0.0,0.103,-5.682,0.14,177.868,4
X Gon' Give It To Ya,The Best Of DMX,DMX,2010-01-01,219253,0,0.0325,0.678,0.857,0.0,0.0788,-5.173,0.216,94.95,4
Ruff Ryders' Anthem - Re-Recorded,Greatest Hits with a Twist - Deluxe Edition,DMX,2011-03-08,231040,59,0.202,0.867,0.796,0.0,0.0838,-4.73,0.0693,92.766,4
Party Up,The Best Of DMX,DMX,2010-01-01,274053,0,0.084,0.747,0.929,0.0,0.135,-3.924,0.237,100.942,4
How's It Goin' Down,The Best Of DMX,DMX,2010-01-01,244760,0,0.455,0.912,0.664,0.00123,0.133,-7.729,0.287,90.466,4
Lowrider,The Essential Cypress Hill,Cypress Hill,2014-10-10,276413,55,0.00254,0.911,0.65,0.0553,0.198,-5.529,0.0921,98.625,4
Window Shopper,Window Shopper (International Version),50 Cent,2005-01-01,191813,0,0.0626,0.539,0.672,0.0,0.388,-4.972,0.195,174.148,4
Welcome To Jamrock,100 Reggae,Various Artists,2012-01-01,213280,0,0.0245,0.833,0.568,0.0,0.308,-9.718,0.369,76.725,4
Go To Church,The Essentials,Ice Cube,2008-01-01,231933,59,0.0254,0.726,0.757,0.0,0.702,-7.155,0.191,83.979,4
Gangsta Rap Made Me Do It,Raw Footage,Ice Cube,2008-08-19,281653,0,0.00703,0.811,0.73,2.41e-05,0.338,-5.432,0.106,87.016,4
You Know How We Do It - Remastered,Lethal Injection,Ice Cube,1993-12-07,232773,0,0.117,0.758,0.519,0.0742,0.109,-10.58,0.0395,92.872,4
Drop Girl,Drop Girl,Ice Cube,2014-07-08,178758,0,0.0621,0.727,0.8,0.0,0.143,-2.507,0.284,144.833,4
Way I Go,Way I Go,Gordi,2022-05-25,247829,53,0.721,0.531,0.319,0.000629,0.0978,-7.844,0.0316,141.602,4
Where's My Love - Acoustic,Where's My Love,SYML,2017-07-07,239880,78,0.892,0.554,0.225,0.0321,0.107,-11.324,0.0281,104.007,4
Beyond,Good Thing,Leon Bridges,2018-05-04,240600,72,0.229,0.581,0.687,0.0,0.109,-5.4,0.105,76.014,4
Moon Song,Punisher,Phoebe Bridgers,2020-06-18,277676,72,0.869,0.339,0.243,0.00369,0.107,-12.512,0.056,154.909,3
How (feat. Brandi Carlile),(self-titled),Marcus Mumford,2022-09-16,224893,55,0.84,0.444,0.0789,0.000164,0.106,-13.848,0.0464,87.348,4
San Luis,Evening Machines,Gregory Alan Isakov,2018-10-05,272346,71,0.86,0.567,0.434,0.257,0.115,-12.755,0.0349,82.459,4
All the Pretty Girls,A/B,KALEO,2016-06-10,269893,69,0.626,0.466,0.496,6.22e-06,0.117,-6.606,0.0302,74.747,4
Fever To The Form,First Mind,Nick Mulvey,2014-05-12,252960,68,0.795,0.358,0.546,0.0586,0.111,-8.927,0.0296,106.489,3
Stay Alive,Stay Alive (From The Secret Life Of Walter Mitty),José González,2013-01-01,266906,67,0.726,0.714,0.306,0.168,0.0924,-12.111,0.0388,129.984,4
If We Were Vampires,The Nashville Sound,Jason Isbell and the 400 Unit,2017-06-16,215563,67,0.824,0.629,0.208,3.7e-06,0.107,-16.225,0.0324,96.609,4
Holocene,Bon Iver (10th Anniversary Edition),Bon Iver,2022-03-25,336613,66,0.943,0.374,0.304,0.298,0.126,-14.52,0.0302,147.969,4
Stay With Me - Live From Spotify Berlin,Spotify Sessions,Angus & Julia Stone,2015-01-13,174360,64,0.825,0.614,0.101,0.0217,0.707,-22.159,0.0395,75.902,4
Mykonos,First Collection 2006-2009,Fleet Foxes,2018-11-09,275306,64,0.395,0.3,0.452,0.000834,0.137,-9.298,0.0305,82.985,4
People Change,Edges Run,Mipso,2018-04-06,212853,64,0.883,0.373,0.276,0.0124,0.122,-14.945,0.0357,79.204,4
Front Porch,Front Porch,Joy Williams,2019-05-03,231813,63,0.887,0.567,0.224,0.0,0.109,-10.024,0.0299,124.44,4
Certainty,Dragon New Warm Mountain I Believe In You,Big Thief,2022-02-11,187388,63,0.0208,0.611,0.507,0.012,0.222,-8.521,0.0267,76.578,4
It's Called: Freefall,It's Called: Freefall,Paris Paloma,2022-07-22,158297,62,0.908,0.684,0.129,2.1e-06,0.182,-15.007,0.0518,93.775,4
Thérèse,Thérèse,Maya Hawke,2022-06-29,207389,62,0.948,0.623,0.354,0.0052,0.0998,-11.988,0.0394,104.32,3
Even the Darkness Has Arms,Sleeping Operator,The Barr Brothers,2014-10-06,230518,61,0.813,0.508,0.652,0.148,0.29,-13.102,0.0429,101.313,4
Tiger Striped Sky,Little Giant,Roo Panes,2014-10-06,241720,61,0.944,0.473,0.317,0.0124,0.11,-10.324,0.0318,139.899,4
Cover Me Up,Southeastern,Jason Isbell,2013-06-11,293973,61,0.882,0.429,0.093,0.00703,0.111,-15.944,0.0433,129.661,3
You Sigh,Lines,Charlie Cunningham,2017-01-27,178826,60,0.852,0.629,0.451,0.06,0.141,-9.974,0.0284,90.965,4
Kathy's Song,You Don't Own Me Anymore,The Secret Sisters,2017-06-09,223586,60,0.931,0.36,0.0932,0.000747,0.0855,-19.422,0.0345,175.108,3
Cherry Wine - Live,Hozier,Hozier,2014-10-07,240146,60,0.951,0.415,0.11,0.00234,0.0962,-14.901,0.0388,81.876,4
Nothing's Gonna Happen (Demo),Nothing's Gonna Happen (Demo),The Staves,2019-12-06,236450,60,0.844,0.35,0.241,0.000392,0.108,-11.74,0.0308,151.332,4
The Trouble with Wanting,Front Porch,Joy Williams,2019-05-03,235586,59,0.912,0.396,0.198,0.0,0.0972,-9.096,0.031,138.624,3
I Just Love You,Nightjar and the Nightingale,Roo Panes,2022-04-01,195453,59,0.584,0.542,0.644,0.362,0.055,-9.358,0.0296,164.888,4
I Am Not Afraid,In the Night,Charley Crockett,2016-06-06,164538,59,0.664,0.57,0.435,0.000884,0.13,-6.539,0.0336,83.255,4
"If You Need To, Keep Time on Me",Crack-Up,Fleet Foxes,2017-06-16,210506,59,0.647,0.521,0.22,0.00814,0.179,-10.202,0.0314,104.03,4
Rolling Stone,Wild Rivers,Wild Rivers,2016-04-16,117287,59,0.853,0.456,0.163,8.94e-05,0.113,-14.462,0.0405,92.442,4
The Barrel,Designer,Aldous Harding,2019-04-26,299440,59,0.747,0.732,0.408,0.000229,0.069,-8.475,0.036,87.015,4
Love Flew Away,Love Flew Away,Laufey,2021-10-07,147346,58,0.92,0.411,0.361,2.36e-06,0.102,-8.466,0.0302,86.325,4
Colder Heavens,Colder Heavens EP,Blanco White,2017-03-31,273893,58,0.773,0.224,0.547,0.00305,0.0872,-9.906,0.042,83.416,1
Hey Mama,Tearing At The Seams,Nathaniel Rateliff & The Night Sweats,2018-03-09,240666,58,0.189,0.5,0.55,0.0921,0.0999,-8.447,0.0286,76.04,4
Thousand (feat. Lisa Hannigan),Bare,Rosie Carney,2019-01-25,206440,58,0.943,0.676,0.198,0.0132,0.104,-13.91,0.0333,118.004,4
Party of One (feat. Sam Smith),Party of One (feat. Sam Smith),Brandi Carlile,2018-10-17,259558,57,0.779,0.354,0.206,0.00021,0.0959,-11.799,0.0365,139.056,4
Raining in June,Raining in June,Olive Klug,2021-08-28,166138,57,0.935,0.369,0.195,4.62e-05,0.347,-13.836,0.0369,92.085,4
Warped Window,Idle Mind,Anna Mieke,2020-09-18,295265,56,0.931,0.472,0.0528,1.42e-05,0.113,-16.261,0.0428,97.12,4
Such A Simple Thing - Recorded at Sound Stage Studios Nashville,Spotify Singles,Ray LaMontagne,2018-06-13,307534,56,0.517,0.55,0.334,0.000169,0.101,-10.73,0.0288,72.235,4
For Now,In the Waiting,Kina Grannis,2018-06-29,198403,56,0.927,0.394,0.249,0.0,0.115,-10.484,0.0396,79.549,4
Twist,Twist,Lorkin O'Reilly,2019-10-18,186157,55,0.923,0.54,0.0774,0.353,0.108,-19.275,0.0342,81.018,4
Pale November Dew,Unsung Passage,The Dead Tongues,2018-05-18,230626,55,0.859,0.526,0.508,0.0729,0.126,-8.643,0.029,112.014,4
Poison & Wine,Barton Hollow,The Civil Wars,2011-02-01,219466,55,0.756,0.285,0.186,6.71e-05,0.104,-12.729,0.0288,153.85,4
Pharmakon,Pharmakon,Humbird,2019-08-30,155352,55,0.848,0.687,0.234,7.72e-06,0.116,-12.559,0.029,95.023,4
Our Remains - Acoustic,All Remains,Beta Radio,2020-03-13,227279,55,0.895,0.64,0.253,0.000101,0.122,-14.988,0.031,99.099,4
Whiskey Whiskey,Into the Depths of Hell,Joshua Burnside,2020-09-04,171576,54,0.949,0.437,0.262,0.0401,0.0999,-13.024,0.0319,110.77,4
Amsterdam (Recorded at Spotify Studios NYC),Spotify Singles,Watchhouse,2016,193671,54,0.909,0.532,0.317,0.0277,0.11,-10.693,0.0309,140.671,3
My Father's Daughter,My Father's Daughter (From The “Flag Day” Original Soundtrack),Olivia Vedder,2021-08-16,170893,54,0.583,0.696,0.209,0.000143,0.14,-11.253,0.0313,129.341,4
My Arms Were Always Around You,My Arms Were Always Around You,Peter Bradley Adams,2017-03-31,200800,54,0.724,0.643,0.436,0.459,0.11,-12.245,0.0273,91.485,4
Hollow - Acoustic,Volume I,Belle Mt.,2018,236626,54,0.803,0.415,0.23,5.4e-06,0.0908,-9.666,0.0499,177.999,3
GPS (w/ Felly),GPS (w/ Felly),Ethan Tasch,2021-09-08,168316,53,0.657,0.772,0.52,0.0198,0.113,-8.95,0.0651,121.086,4
I Am the Moon,"Darkest Darks, Lightest Lights",The White Buffalo,2017-10-06,198226,53,0.596,0.235,0.225,0.234,0.0947,-16.369,0.0333,132.993,4
I'll Be out Here,Mick Flannery,Mick Flannery,2019-07-05,202677,53,0.905,0.576,0.302,2.42e-05,0.113,-12.437,0.0424,76.033,4
Without A Word,Young In All The Wrong Ways,Sara Watkins,2016-07-01,238560,53,0.901,0.579,0.171,0.000308,0.111,-14.495,0.0303,136.311,4
"Go Easy, Kid","Go Easy, Kid",Monica Martin,2021-09-29,248181,52,0.924,0.277,0.165,0.0,0.124,-11.51,0.0415,60.605,4
Spirit Cold,Neptune,Tall Heights,2016-08-19,222293,52,0.211,0.411,0.662,0.0067,0.176,-6.158,0.032,155.858,4
The Swimmer (To Be an Old Man),Bravado,Rose Cousins,2020-02-21,247631,52,0.91,0.354,0.262,0.00315,0.121,-11.762,0.0282,87.72,3
Summer's End,The Tree of Forgiveness,John Prine,2018-04-13,209047,52,0.739,0.435,0.187,0.00226,0.122,-17.703,0.0309,74.378,3
Fade Into You,Falling In,Inhaler,2020-07-24,315491,52,0.29,0.468,0.362,0.00529,0.128,-10.704,0.0262,140.031,3
Right on Time,Right on Time,Brandi Carlile,2021-07-21,185228,52,0.626,0.419,0.269,1.83e-05,0.116,-9.388,0.0356,121.695,4
Lavender Girl,Lavender Girl,Caamp,2022-05-20,203546,51,0.342,0.718,0.729,0.000147,0.0977,-7.062,0.0271,123.996,4
Top to Toe,On Hold,Fenne Lily,2018-04-06,216252,51,0.892,0.708,0.153,8.67e-06,0.112,-14.594,0.0489,110.951,4
Horse to Water,Neptune,Tall Heights,2016-08-19,244960,52,0.343,0.519,0.622,0.0699,0.497,-9.135,0.0319,97.004,4
People Get Old,The Tree,Lori McKenna,2018-07-20,222279,51,0.216,0.619,0.446,1.16e-05,0.154,-10.69,0.034,80.955,4
Easy Rider,Before the Bridge,Eddie Berman,2017-09-01,229800,51,0.499,0.57,0.472,0.017,0.108,-10.213,0.0263,115.34,4
Sausalito,Sausalito,Lydia Luce,2018-04-06,222859,51,0.826,0.347,0.183,2.94e-05,0.126,-11.149,0.0338,149.681,4
The Promise,Metamodern Sounds in Country Music,Sturgill Simpson,2014-05-13,257426,51,0.406,0.605,0.244,0.00234,0.0912,-10.984,0.0256,79.091,4
when i look at you.,when i look at you.,Rosie Carney,2020-03-13,232800,51,0.696,0.545,0.246,0.00463,0.136,-11.65,0.0302,110.1,4
"Cairo, IL",Puxico,Natalie Hemby,2017-01-13,179306,50,0.782,0.61,0.291,0.00174,0.101,-10.621,0.0271,100.052,4
Astral Plane,The Order Of Time,Valerie June,2017-03-10,218640,50,0.801,0.305,0.264,0.11,0.0648,-10.828,0.0408,172.984,4
The Eye,The Firewatcher's Daughter,Brandi Carlile,2015-03-06,211674,50,0.736,0.425,0.258,0.0,0.0734,-9.324,0.036,162.761,4
Miles Away,People Are My Drug,Phil Cook,2018-06-01,241746,50,0.741,0.633,0.329,2.27e-05,0.101,-13.155,0.0365,112.162,4
"Bittersweet, TN",This Is A Photograph,Kevin Morby,2022-05-13,253888,50,0.697,0.55,0.37,0.00225,0.107,-9.017,0.0272,107.027,4
Call My Name - Acoustic,Call My Name,I'm With Her,2019-03-08,197458,50,0.929,0.57,0.186,0.0,0.115,-10.604,0.0316,76.118,4
Never Be Ourselves,Twenty-Twenty,Savannah Conley,2018-03-01,220773,50,0.08,0.514,0.661,1.01e-05,0.0826,-7.545,0.0564,85.547,4
I Won't Run From It,Big Red Machine,Big Red Machine,2018-08-31,218786,50,0.699,0.62,0.72,0.107,0.148,-8.196,0.0328,94.952,4
Imagining My Man,Party,Aldous Harding,2017-05-19,351296,49,0.962,0.579,0.157,0.00786,0.115,-15.347,0.0284,98.602,4
Heart of Somebody,Spades & Roses,Caroline Spence,2017-03-03,212053,49,0.417,0.631,0.461,1.64e-05,0.099,-7.912,0.0246,105.872,4
Golden (Acoustic),Golden (Acoustic),Becca Mancari,2018-04-20,307312,49,0.91,0.359,0.17,0.000238,0.11,-10.915,0.0308,137.062,3
The Rains,The Wilds,Henry Jamison,2017-10-27,211794,49,0.648,0.69,0.399,0.0168,0.0704,-10.906,0.0281,117.029,4
Nothing Else,Snow,Angus & Julia Stone,2017-09-15,264000,49,0.887,0.715,0.302,0.0172,0.102,-13.833,0.0382,123.941,4
The Love That We Need,Lovers and Leavers,Hayes Carll,2016-04-08,248440,48,0.708,0.369,0.365,0.0343,0.108,-9.869,0.0451,181.019,4
Cattails,U.F.O.F.,Big Thief,2019-05-03,245640,48,0.821,0.555,0.58,0.00636,0.111,-6.925,0.0249,80.512,4
Love Is Everywhere (Beware),Love Is Everywhere (Beware),Wilco,2019-07-16,213127,48,0.12,0.313,0.52,0.452,0.0993,-9.436,0.0298,144.249,3
